PRECINCT_NAME,PRECINCT_CODE,CTYSOSID,COUNTY_NAM,ajc_precinct,woolard_votes,mitchell_votes,County,wrightson_votes,eaves_votes,bottoms_votes,hall_votes,norwood_votes,sterling_votes,aman_votes,Precinct,ammanamanchi_votes,fort_votes,king_votes,county,_merge
02A,02A,12102A,FULTON,02A,342.0,56.0,FULTON,1.0,8.0,122.0,32.0,238.0,0.0,114.0,02A,6.0,62.0,0.0,FULTON,both
06R,06R,12106R,FULTON,06R,215.0,28.0,FULTON,0.0,7.0,57.0,10.0,201.0,0.0,180.0,06R,0.0,27.0,0.0,FULTON,both
06N,06N,12106N,FULTON,06N,58.0,14.0,FULTON,0.0,3.0,67.0,10.0,206.0,0.0,200.0,06N,0.0,20.0,0.0,FULTON,both
06L2,06L2,12106L2,FULTON,06L2,77.0,8.0,FULTON,0.0,43.0,11.0,1.0,97.0,0.0,74.0,06L2,0.0,4.0,0.0,FULTON,both
02S,02S,12102S,FULTON,02S,46.0,17.0,FULTON,1.0,1.0,42.0,33.0,16.0,0.0,12.0,02S,0.0,38.0,0.0,FULTON,both
05J,05J,12105J,FULTON,05J,51.0,21.0,FULTON,0.0,2.0,50.0,31.0,28.0,0.0,13.0,05J,1.0,24.0,0.0,FULTON,both
01I,01I,12101I,FULTON,01I,1.0,1.0,FULTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01I,0.0,0.0,0.0,FULTON,both
02B,02B,12102B,FULTON,02B,118.0,71.0,FULTON,0.0,5.0,167.0,46.0,76.0,2.0,43.0,02B,0.0,42.0,0.0,FULTON,both
05C,05C,12105C,FULTON,05C,1.0,0.0,FULTON,0.0,0.0,7.0,1.0,3.0,0.0,0.0,05C,0.0,1.0,0.0,FULTON,both
05K,05K,12105K,FULTON,05K,48.0,39.0,FULTON,0.0,1.0,115.0,52.0,36.0,0.0,21.0,05K,3.0,87.0,0.0,FULTON,both
05D,05D,12105D,FULTON,05D,2.0,1.0,FULTON,0.0,1.0,5.0,1.0,0.0,0.0,0.0,05D,0.0,3.0,0.0,FULTON,both
05F,05F,12105F,FULTON,05F,8.0,6.0,FULTON,0.0,0.0,13.0,4.0,2.0,0.0,1.0,05F,0.0,3.0,0.0,FULTON,both
02L2,02L2,12102L2,FULTON,02L2,100.0,6.0,FULTON,0.0,2.0,31.0,9.0,46.0,1.0,26.0,02L2,1.0,14.0,0.0,FULTON,both
02C,02C,12102C,FULTON,02C,92.0,37.0,FULTON,0.0,10.0,162.0,50.0,74.0,3.0,33.0,02C,1.0,72.0,0.0,FULTON,both
02L1,02L1,12102L1,FULTON,02L1,582.0,71.0,FULTON,1.0,9.0,206.0,73.0,347.0,1.0,153.0,02L1,1.0,110.0,0.0,FULTON,both
